Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
DL Vettori (NZ),92.5,20,199,6,2.14,33.16,92.8,v India,Ahmedabad,4 Nov 2010,0,0,0
NC McGarrell (WI),36,14,60,5,1.66,12,43.2,v Zimbabwe,Bulawayo,19 Jul 2001,0,0,0
DL Vettori (NZ),19,6,66,5,3.47,13.2,22.8,v Bangladesh,Dhaka,25 Oct 2008,0,0,0
DL Vettori (NZ),22.3,4,69,5,3.06,13.8,27,v England,Lord's,15 May 2008,0,0,0
MJ Clarke (AUS),23,1,86,5,3.73,17.2,27.6,v West Indies,Roseau,23 Apr 2012,0,0,0
Abdur Rehman (PAK),47.5,11,87,5,1.81,17.4,57.4,v Zimbabwe,Harare,10 Sep 2013,0,0,0
KA Maharaj (SA),28.3,7,94,5,3.29,18.8,34.2,v New Zealand,Dunedin,8 Mar 2017,0,0,0
Kuldeep Yadav (INDIA),30,6,96,5,3.2,19.2,36,v Sri Lanka,Pallekele,12 Aug 2017,0,0,0
AC Agar (AUS),33.4,4,101,5,3,20.2,40.4,v Bangladesh,Dhaka,27 Aug 2017,0,0,0
Mohammad Rafique (BDESH),37,9,114,5,3.08,22.8,44.4,v Sri Lanka,Colombo (RPS),12 Sep 2005,0,0,0
Shakib Al Hasan (BDESH),63.1,21,115,5,1.82,23,75.8,v West Indies,Kingstown,9 Jul 2009,0,0,0
PL Harris (SA),60,19,117,5,1.95,23.4,72,v Pakistan,Lahore,8 Oct 2007,0,0,0
HMRKB Herath (SL),33,2,121,5,3.66,24.2,39.6,v India,Kanpur,24 Nov 2009,0,0,0
Shakib Al Hasan (BDESH),37.3,4,121,5,3.22,24.2,45,v England,Manchester,4 Jun 2010,0,0,0
DL Vettori (NZ),49.1,17,122,5,2.48,24.4,59,v Zimbabwe,Bulawayo,15 Aug 2005,0,0,0
AF Giles (ENG),74.3,28,124,5,1.66,24.8,89.4,v India,Ahmedabad,11 Dec 2001,0,0,0
N Boje (SA),54,12,127,5,2.35,25.4,64.8,v Sri Lanka,Colombo (SSC),6 Aug 2000,0,0,0
