overs,mdns,runs,wkts,econ,ave,strike_rate,opposition,ground,home_away,bowling_arm,pace_spin,player,country,year,balls,year1_mtchs_pld,year2_mtchs_pld,year3_mtchs_pld,year4_mtchs_pld,year5_mtchs_pld,year1_wkts_pm,year2_wkts_pm,year3_wkts_pm,year4_wkts_pm,year5_wkts_pm,bowler_agnst_oppo,oppo_agnst_bowl_typ,bowl_home_adv,ground_bowl_typ
43,7,110,2,2.55,55,129,Australia,Adelaide,0,1,1,CD Collymore,West Indies,2005,258,8,3,0,0,0,1,5.33333333333333,0,0,0,1,0.840114379084967,0.418604651162791,0.864583333333333
45,8,157,7,3.48,22.42,38.5,West Indies,Adelaide,1,1,1,B Lee,Australia,2005,270,1,6,6,9,6,4,4.33333333333333,3.33333333333333,2.77777777777778,5.5,1.20987654320988,0.967320261437909,0.564814814814815,0.864583333333333
48,11,131,3,2.72,43.66,96,West Indies,Adelaide,1,1,1,GD McGrath,Australia,2005,288,8,2,8,14,8,3.75,1.5,4.375,4.85714285714286,4.5,0.697674418604651,0.967320261437909,0.476744186046512,0.864583333333333
43.4,5,153,5,3.5,30.6,52.4,India,Ahmedabad,0,1,0,HMCM Bandara,Sri Lanka,2005,262,0,0,0,0,0,0,0,0,0,0,1,0.952544031311155,0.5,1.51851851851852
57,9,218,6,3.82,36.33,57,India,Ahmedabad,0,1,0,M Muralitharan,Sri Lanka,2005,342,4,7,4,10,4,8.25,6.85714285714286,3.75,6.1,9.25,1.14604810996564,0.952544031311155,0.374257425742574,1.51851851851852
12,2,36,1,3,36,72,India,Ahmedabad,0,1,0,TM Dilshan,Sri Lanka,2005,72,2,0,0,0,0,1,0,0,0,0,1,0.952544031311155,0.5,1.51851851851852
53.2,10,141,10,2.64,14.1,32,Sri Lanka,Ahmedabad,1,1,0,Harbhajan Singh,India,2005,320,5,3,11,9,0,6.8,2.33333333333333,4.45454545454545,5.66666666666667,0,0.297872340425532,0.96523178807947,0.686274509803922,1.51851851851852
59.3,12,176,7,2.95,25.14,51,Sri Lanka,Ahmedabad,1,1,0,A Kumble,India,2005,357,7,4,8,5,3,6.85714285714286,5.25,4.125,4.6,4,1,0.96523178807947,0.584295612009238,1.51851851851852
27,11,52,2,1.92,26,81,India,Ahmedabad,0,1,1,MF Maharoof,Sri Lanka,2005,162,1,0,0,0,0,0,0,0,0,0,1,1.09153250341232,0.5,0.481481481481481
44,6,176,4,4,44,66,India,Ahmedabad,0,1,1,SL Malinga,Sri Lanka,2005,264,3,0,0,0,0,4.66666666666667,0,0,0,0,1,1.09153250341232,0.555555555555556,0.481481481481481
10,1,36,1,3.6,36,60,Sri Lanka,Ahmedabad,1,0,1,IK Pathan,India,2005,60,4,1,0,0,0,1.75,1,0,0,0,1,1.19337748344371,0.526315789473684,0.481481481481481
11,3,18,1,1.63,18,66,Sri Lanka,Ahmedabad,1,1,1,AB Agarkar,India,2005,66,2,3,5,2,1,0.5,5,1.8,2,0,1,0.978731533367295,0.388235294117647,0.481481481481481
19,4,47,0,2.47,1000,1000,Australia,Auckland,1,0,0,DL Vettori,New Zealand,2005,114,7,3,4,3,2,2.57142857142857,2.66666666666667,3.25,4.33333333333333,6.5,1.5032967032967,1.12015250544662,0.467256637168142,1.19791666666667
