Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
MG Johnson (AUS),42,4,164,6,3.9,27.33,42,v South Africa,Perth,30 Nov 2012,1,0,1
MA Starc (AUS),52.2,10,167,6,3.19,27.83,52.3,v Sri Lanka,Hobart,14 Dec 2012,1,0,1
N Wagner (NZ),59,11,188,6,3.18,31.33,59,v Bangladesh,Wellington,12 Jan 2017,1,0,1
T Thushara (SL),48.4,4,204,6,4.19,34,48.6,v Pakistan,Colombo (SSC),20 Jul 2009,1,0,1
MG Johnson (AUS),17.3,6,39,5,2.22,7.8,21,v New Zealand,Brisbane,20 Nov 2008,1,0,1
JEC Franklin (NZ),25,1,64,5,2.56,12.8,30,v Sri Lanka,Christchurch,7 Dec 2006,1,0,1
TA Boult (NZ),33,10,76,5,2.3,15.2,39.6,v Pakistan,Christchurch,17 Nov 2016,1,0,1
WPUJC Vaas (SL),37.3,14,79,5,2.1,15.8,45,v New Zealand,Kandy,3 May 2003,1,0,1
Z Khan (INDIA),48,16,81,5,1.68,16.2,57.6,v England,Chennai,11 Dec 2008,1,0,1
LL Tsotsobe (SA),24,6,83,5,3.45,16.6,28.8,v India,Durban,26 Dec 2010,1,0,1
MG Johnson (AUS),40.1,12,85,5,2.11,17,48.2,v New Zealand,Adelaide,28 Nov 2008,1,0,1
MG Johnson (AUS),30,4,91,5,3.03,18.2,36,v Pakistan,Sydney,3 Jan 2010,1,0,1
DE Bollinger (AUS),35,11,92,5,2.62,18.4,42,v Pakistan,Melbourne,26 Dec 2009,1,0,1
TA Boult (NZ),47.4,16,98,5,2.05,19.6,57.2,v South Africa,Dunedin,8 Mar 2017,1,0,1
TA Boult (NZ),36,6,107,5,2.97,21.4,43.2,v West Indies,Hamilton,19 Dec 2013,1,0,1
N Wagner (NZ),30,7,115,5,3.83,23,36,v West Indies,Hamilton,9 Dec 2017,1,0,1
WPUJC Vaas (SL),44.2,11,117,5,2.63,23.4,53.2,v Australia,Kandy,16 Mar 2004,1,0,1
DE Bollinger (AUS),42.5,6,117,5,2.73,23.4,51.4,v West Indies,Adelaide,4 Dec 2009,1,0,1
TA Boult (NZ),53,16,121,5,2.28,24.2,63.6,v West Indies,Dunedin,3 Dec 2013,1,0,1
JEC Franklin (NZ),34.5,5,122,5,3.5,24.4,41.8,v Sri Lanka,Wellington,11 Apr 2005,1,0,1
BV Vitori (ZIM),38,6,122,5,3.21,24.4,45.6,v Bangladesh,Harare,4 Aug 2011,1,0,1
PT Collins (WI),44.3,13,125,5,2.8,25,53.4,v Bangladesh,Gros Islet,28 May 2004,1,0,1
RJ Sidebottom (ENG),44,14,128,5,2.9,25.6,52.8,v West Indies,Chester-le-Street,15 Jun 2007,1,0,1
WPUJC Vaas (SL),35.1,6,132,5,3.75,26.4,42.2,v England,Kandy,1 Dec 2007,1,0,1
MA Starc (AUS),42.1,10,135,5,3.2,27,50.6,v England,Perth,14 Dec 2017,1,0,1
IK Pathan (INDIA),37,7,140,5,3.78,28,44.4,v England,Nagpur,1 Mar 2006,1,0,1
MA Starc (AUS),51,14,142,5,2.78,28.4,61.2,v India,Sydney,6 Jan 2015,1,0,1
N Wagner (NZ),42,10,143,5,3.4,28.6,50.4,v Sri Lanka,Dunedin,10 Dec 2015,1,0,1
MG Johnson (AUS),38.2,7,144,5,3.75,28.8,46,v India,Perth,16 Jan 2008,1,0,1
N Wagner (NZ),58,15,145,5,2.5,29,69.6,v South Africa,Dunedin,8 Mar 2017,1,0,1
WPUJC Vaas (SL),47,6,154,5,3.27,30.8,56.4,v Australia,Colombo (SSC),24 Mar 2004,1,0,1
MG Johnson (AUS),34,8,159,5,4.67,31.8,40.8,v West Indies,Perth,16 Dec 2009,1,0,1
MA Starc (AUS),46.2,10,161,5,3.47,32.2,55.6,v Pakistan,Melbourne,26 Dec 2016,1,0,1
MG Johnson (AUS),45.5,9,173,5,3.77,34.6,55,v India,Melbourne,26 Dec 2014,1,0,1
TA Boult (NZ),47.5,8,184,5,3.84,36.8,57.4,v Bangladesh,Wellington,12 Jan 2017,1,0,1
MA Starc (AUS),49.4,10,185,5,3.72,37,59.6,v South Africa,Perth,3 Nov 2016,1,0,1
Mustafizur Rahman (BDESH),17.4,6,37,4,2.09,9.25,26.5,v South Africa,Chittagong,21 Jul 2015,1,0,1
Z Khan (INDIA),16,4,41,4,2.56,10.25,24,v West Indies,Mumbai,9 Oct 2002,1,0,1
Z Khan (INDIA),22.4,8,44,4,1.94,11,34,v West Indies,Chennai,17 Oct 2002,1,0,1
WPUJC Vaas (SL),20.2,8,55,4,2.7,13.75,30.5,v Bangladesh,Colombo (PSS),3 Jul 2007,1,0,1
DNT Zoysa (SL),29,10,58,4,2,14.5,43.5,v Zimbabwe,Colombo (SSC),27 Dec 2001,1,0,1
WRS de Silva (SL),24,7,63,4,2.62,15.75,36,v Bangladesh,Kandy,11 Jul 2007,1,0,1
MG Johnson (AUS),14,2,63,4,4.5,15.75,21,v Sri Lanka,Melbourne,26 Dec 2012,1,0,1
DNT Zoysa (SL),32,5,68,4,2.12,17,48,v Pakistan,Colombo (SSC),14 Jun 2000,1,0,1
