Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start date,
Abdul Razzaq (PAK),29,5,82,3,2.82,27.33,58,,v Sri Lanka,Lahore,6 Mar 2002, 
Mohammad Sami (PAK),36.5,4,120,4,3.25,30,55.2,,v Sri Lanka,Lahore,6 Mar 2002, 
Shoaib Akhtar (PAK),27,4,114,2,4.22,57,81,,v Sri Lanka,Lahore,6 Mar 2002, 
Waqar Younis (PAK),30,4,123,1,4.1,123,180,,v Sri Lanka,Lahore,6 Mar 2002, 
AJ Hall (SA),11,1,47,0,4.27,-,-,,v Australia,Cape Town,8 Mar 2002, 
JH Kallis (SA),33,3,133,4,4.03,33.25,49.5,,v Australia,Cape Town,8 Mar 2002, 
M Ntini (SA),46.5,9,183,5,3.9,36.6,56.2,,v Australia,Cape Town,8 Mar 2002, 
D Pretorius (SA),25,6,132,1,5.28,132,150,,v Australia,Cape Town,8 Mar 2002, 
NJ Astle (NZ),18,10,32,2,1.77,16,54,,v England,Christchurch,13 Mar 2002, 
IG Butler (NZ),39,4,196,5,5.02,39.2,46.8,,v England,Christchurch,13 Mar 2002, 
CL Cairns (NZ),15,4,58,3,3.86,19.33,30,,v England,Christchurch,13 Mar 2002, 
CJ Drum (NZ),52.2,14,166,5,3.17,33.2,62.8,,v England,Christchurch,13 Mar 2002, 
CD McMillan (NZ),10,0,66,0,6.6,-,-,,v England,Christchurch,13 Mar 2002, 
JH Kallis (SA),31,5,124,5,4,24.8,37.2,,v Australia,Durban,15 Mar 2002, 
M Ntini (SA),37,5,152,5,4.1,30.4,44.4,,v Australia,Durban,15 Mar 2002, 
DJ Terbrugge (SA),16,2,61,2,3.81,30.5,48,,v Australia,Durban,15 Mar 2002, 
IG Butler (NZ),18.3,2,60,4,3.24,15,27.7,,v England,Wellington,21 Mar 2002, 
CJ Drum (NZ),40,8,163,3,4.07,54.33,80,,v England,Wellington,21 Mar 2002, 
CS Martin (NZ),17,3,58,2,3.41,29,51,,v England,Wellington,21 Mar 2002, 
AR Adams (NZ),31.4,5,105,6,3.31,17.5,31.6,,v England,Auckland,30 Mar 2002, 
NJ Astle (NZ),19,6,44,1,2.31,44,114,,v England,Auckland,30 Mar 2002, 
CJ Drum (NZ),20,3,97,4,4.85,24.25,30,,v England,Auckland,30 Mar 2002, 
DR Tuffey (NZ),35,9,116,9,3.31,12.88,23.3,,v England,Auckland,30 Mar 2002, 
CE Cuffy (WI),27,6,57,3,2.11,19,54,,v India,Georgetown,11 Apr 2002, 
M Dillon (WI),32.3,5,115,1,3.53,115,195,,v India,Georgetown,11 Apr 2002, 
A Sanford (WI),25,5,81,2,3.24,40.5,75,,v India,Georgetown,11 Apr 2002, 
MI Black (WI),31.5,10,89,3,2.79,29.66,63.6,,v India,Port of Spain,19 Apr 2002, 
CE Cuffy (WI),50,18,102,5,2.04,20.4,60,,v India,Port of Spain,19 Apr 2002, 
M Dillon (WI),49.1,14,124,5,2.52,24.8,59,,v India,Port of Spain,19 Apr 2002, 
A Sanford (WI),46,10,157,5,3.41,31.4,55.2,,v India,Port of Spain,19 Apr 2002, 
Abdul Razzaq (PAK),14,2,47,2,3.35,23.5,42,,v New Zealand,Lahore,1 May 2002, 
Waqar Younis (PAK),10,6,21,1,2.1,21,60,,v New Zealand,Lahore,1 May 2002, 
CE Cuffy (WI),24,16,26,1,1.08,26,144,,v India,Bridgetown,2 May 2002, 
M Dillon (WI),42.2,9,123,8,2.9,15.37,31.7,,v India,Bridgetown,2 May 2002, 
A Sanford (WI),15,3,78,1,5.2,78,90,,v India,Bridgetown,2 May 2002, 
CE Cuffy (WI),40,7,87,3,2.17,29,80,,v India,St John's,10 May 2002, 
M Dillon (WI),51,14,116,3,2.27,38.66,102,,v India,St John's,10 May 2002, 
A Sanford (WI),32,6,113,0,3.53,-,-,,v India,St John's,10 May 2002, 
AR Caddick (ENG),38.3,6,135,0,3.5,-,-,,v Sri Lanka,Lord's,16 May 2002, 
DG Cork (ENG),35.3,11,93,3,2.61,31,71,,v Sri Lanka,Lord's,16 May 2002, 
A Flintoff (ENG),39,8,101,2,2.58,50.5,117,,v Sri Lanka,Lord's,16 May 2002, 
MJ Hoggard (ENG),39,4,160,2,4.1,80,117,,v Sri Lanka,Lord's,16 May 2002, 
CE Cuffy (WI),40,11,83,4,2.07,20.75,60,,v India,Kingston,18 May 2002, 
M Dillon (WI),46.3,10,148,6,3.18,24.66,46.5,,v India,Kingston,18 May 2002, 
A Sanford (WI),19,8,48,3,2.52,16,38,,v India,Kingston,18 May 2002, 
AR Caddick (ENG),42,8,114,6,2.71,19,42,,v Sri Lanka,Birmingham,30 May 2002, 
MJ Hoggard (ENG),40,6,147,7,3.67,21,34.2,,v Sri Lanka,Birmingham,30 May 2002, 
A Flintoff (ENG),52,12,143,2,2.75,71.5,156,,v Sri Lanka,Manchester,13 Jun 2002, 
MJ Hoggard (ENG),53,12,135,5,2.54,27,63.6,,v Sri Lanka,Manchester,13 Jun 2002, 
AJ Tudor (ENG),46,14,109,7,2.36,15.57,39.4,,v Sri Lanka,Manchester,13 Jun 2002, 
M Dillon (WI),28,6,73,2,2.6,36.5,84,,v New Zealand,Bridgetown,21 Jun 2002, 
DBL Powell (WI),41,10,102,3,2.48,34,82,,v New Zealand,Bridgetown,21 Jun 2002, 
A Sanford (WI),45.4,12,169,4,3.7,42.25,68.5,,v New Zealand,Bridgetown,21 Jun 2002, 
CE Cuffy (WI),45,15,96,2,2.13,48,135,,v New Zealand,St George's,28 Jun 2002, 
A Sanford (WI),36.5,7,101,1,2.74,101,221,,v New Zealand,St George's,28 Jun 2002, 
CRD Fernando (SL),21,7,64,3,3.04,21.33,42,,v Bangladesh,Colombo (PSS),21 Jul 2002, 
TCB Fernando (SL),10,3,38,2,3.8,19,30,,v Bangladesh,Colombo (PSS),21 Jul 2002, 
A Flintoff (ENG),36,11,109,2,3.02,54.5,108,,v India,Lord's,25 Jul 2002, 
MJ Hoggard (ENG),40.5,11,120,7,2.93,17.14,35,,v India,Lord's,25 Jul 2002, 
SP Jones (ENG),38,3,129,4,3.39,32.25,57,,v India,Lord's,25 Jul 2002, 
TCB Fernando (SL),15,3,36,2,2.4,18,45,,v Bangladesh,Colombo (SSC),28 Jul 2002, 
MKGCP Lakshitha (SL),24,7,81,3,3.37,27,48,,v Bangladesh,Colombo (SSC),28 Jul 2002, 
DG Cork (ENG),23,4,99,3,4.3,33,46,,v India,Nottingham,8 Aug 2002, 
A Flintoff (ENG),49,8,180,2,3.67,90,147,,v India,Nottingham,8 Aug 2002, 
SJ Harmison (ENG),49,12,120,5,2.44,24,58.8,,v India,Nottingham,8 Aug 2002, 
MJ Hoggard (ENG),58.1,10,214,5,3.67,42.8,69.8,,v India,Nottingham,8 Aug 2002, 
AR Caddick (ENG),40.1,5,150,3,3.73,50,80.3,,v India,Leeds,22 Aug 2002, 
A Flintoff (ENG),27,6,68,1,2.51,68,162,,v India,Leeds,22 Aug 2002, 
MJ Hoggard (ENG),36,12,102,1,2.83,102,216,,v India,Leeds,22 Aug 2002, 
AJ Tudor (ENG),36,10,146,2,4.05,73,108,,v India,Leeds,22 Aug 2002, 
AR Caddick (ENG),43,11,114,4,2.65,28.5,64.5,,v India,The Oval,5 Sep 2002, 
DG Cork (ENG),22,5,67,1,3.04,67,132,,v India,The Oval,5 Sep 2002, 
MJ Hoggard (ENG),25,2,97,1,3.88,97,150,,v India,The Oval,5 Sep 2002, 
AJ Tudor (ENG),19,2,80,0,4.21,-,-,,v India,The Oval,5 Sep 2002, 
J Srinath (INDIA),11,5,16,1,1.45,16,66,,v West Indies,Mumbai,9 Oct 2002, 
J Srinath (INDIA),10,5,14,1,1.4,14,60,,v West Indies,Chennai,17 Oct 2002, 
M Hayward (SA),31,5,115,4,3.7,28.75,46.5,,v Bangladesh,East London,18 Oct 2002, 
JH Kallis (SA),10,3,22,0,2.2,-,-,,v Bangladesh,East London,18 Oct 2002, 
M Ntini (SA),33.5,15,74,7,2.18,10.57,29,,v Bangladesh,East London,18 Oct 2002, 
DJ Terbrugge (SA),26.4,4,89,7,3.33,12.71,22.8,,v Bangladesh,East London,18 Oct 2002, 
M Hayward (SA),14,3,64,2,4.57,32,42,,v Bangladesh,Potchefstroom,25 Oct 2002, 
JH Kallis (SA),13,4,26,2,2,13,39,,v Bangladesh,Potchefstroom,25 Oct 2002, 
M Ntini (SA),33,5,106,5,3.21,21.2,39.6,,v Bangladesh,Potchefstroom,25 Oct 2002, 
SM Pollock (SA),16,6,38,2,2.37,19,48,,v Bangladesh,Potchefstroom,25 Oct 2002, 
J Srinath (INDIA),19,3,62,0,3.26,-,-,,v West Indies,Kolkata,30 Oct 2002, 
AJ Bichel (AUS),23,4,74,2,3.21,37,69,,v England,Brisbane,7 Nov 2002, 
JN Gillespie (AUS),18,4,51,2,2.83,25.5,54,,v England,Brisbane,7 Nov 2002, 
GD McGrath (AUS),42,12,123,8,2.92,15.37,31.5,,v England,Brisbane,7 Nov 2002, 
S Elworthy (SA),25.3,6,81,3,3.17,27,51,,v Sri Lanka,Johannesburg,8 Nov 2002, 
AJ Hall (SA),11,6,19,2,1.72,9.5,33,,v Sri Lanka,Johannesburg,8 Nov 2002, 
JH Kallis (SA),28,11,75,3,2.67,25,56,,v Sri Lanka,Johannesburg,8 Nov 2002, 
M Ntini (SA),24,9,67,4,2.79,16.75,36,,v Sri Lanka,Johannesburg,8 Nov 2002, 
SM Pollock (SA),18,8,45,2,2.5,22.5,54,,v Sri Lanka,Johannesburg,8 Nov 2002, 
AM Blignaut (ZIM),41,5,160,8,3.9,20,30.7,,v Pakistan,Harare,9 Nov 2002, 
NB Mahwire (ZIM),28.5,6,118,1,4.09,118,173,,v Pakistan,Harare,9 Nov 2002, 
HK Olonga (ZIM),33.5,3,139,6,4.1,23.16,33.8,,v Pakistan,Harare,9 Nov 2002, 
GJ Whittall (ZIM),36,15,106,1,2.94,106,216,,v Pakistan,Harare,9 Nov 2002, 
S Elworthy (SA),33,5,125,1,3.78,125,198,,v Sri Lanka,Centurion,15 Nov 2002, 
AJ Hall (SA),14,3,34,1,2.42,34,84,,v Sri Lanka,Centurion,15 Nov 2002, 
JH Kallis (SA),30.1,7,110,7,3.64,15.71,25.8,,v Sri Lanka,Centurion,15 Nov 2002, 
M Ntini (SA),51,11,138,8,2.7,17.25,38.2,,v Sri Lanka,Centurion,15 Nov 2002, 
SM Pollock (SA),46,18,96,3,2.08,32,92,,v Sri Lanka,Centurion,15 Nov 2002, 
AM Blignaut (ZIM),22.4,5,75,2,3.3,37.5,68,,v Pakistan,Bulawayo,16 Nov 2002, 
ML Nkala (ZIM),25,5,93,1,3.72,93,150,,v Pakistan,Bulawayo,16 Nov 2002, 
HK Olonga (ZIM),20,4,69,3,3.45,23,40,,v Pakistan,Bulawayo,16 Nov 2002, 
AJ Bichel (AUS),20,2,78,1,3.9,78,120,,v England,Adelaide,21 Nov 2002, 
JN Gillespie (AUS),38.5,9,122,5,3.14,24.4,46.6,,v England,Adelaide,21 Nov 2002, 
GD McGrath (AUS),47.2,17,118,5,2.49,23.6,56.8,,v England,Adelaide,21 Nov 2002, 
JN Gillespie (AUS),32.2,12,78,3,2.41,26,64.6,,v England,Perth,29 Nov 2002, 
B Lee (AUS),38.1,4,150,5,3.93,30,45.8,,v England,Perth,29 Nov 2002, 
GD McGrath (AUS),38,14,54,4,1.42,13.5,57,,v England,Perth,29 Nov 2002, 
Talha Jubair (BDESH),31,3,135,3,4.35,45,62,,v West Indies,Dhaka,8 Dec 2002, 
Tapash Baisya (BDESH),34,3,117,2,3.44,58.5,102,,v West Indies,Dhaka,8 Dec 2002, 
SE Bond (NZ),31.5,9,99,7,3.1,14.14,27.2,,v India,Wellington,12 Dec 2002, 
JDP Oram (NZ),27,7,67,5,2.48,13.4,32.4,,v India,Wellington,12 Dec 2002, 
DR Tuffey (NZ),16,7,25,2,1.56,12.5,48,,v India,Wellington,12 Dec 2002, 
Talha Jubair (BDESH),20,5,58,2,2.9,29,60,,v West Indies,Chittagong,16 Dec 2002, 
Tapash Baisya (BDESH),21.3,2,72,4,3.34,18,32.2,,v West Indies,Chittagong,16 Dec 2002, 
SE Bond (NZ),24.2,7,97,5,3.98,19.4,29.2,,v India,Hamilton,19 Dec 2002, 
JDP Oram (NZ),22.5,3,63,6,2.75,10.5,22.8,,v India,Hamilton,19 Dec 2002, 
DR Tuffey (NZ),16,3,41,4,2.56,10.25,24,,v India,Hamilton,19 Dec 2002, 
JN Gillespie (AUS),41.1,13,96,7,2.33,13.71,35.2,,v England,Melbourne,26 Dec 2002, 
B Lee (AUS),44,8,157,3,3.56,52.33,88,,v England,Melbourne,26 Dec 2002, 
GD McGrath (AUS),35,10,85,2,2.42,42.5,105,,v England,Melbourne,26 Dec 2002, 
M Hayward (SA),23.4,2,119,7,5.02,17,20.2,,v Pakistan,Durban,26 Dec 2002, 
JH Kallis (SA),17,5,30,2,1.76,15,51,,v Pakistan,Durban,26 Dec 2002, 
M Ntini (SA),39,6,132,5,3.38,26.4,46.8,,v Pakistan,Durban,26 Dec 2002, 
SM Pollock (SA),31.3,9,52,3,1.65,17.33,63,,v Pakistan,Durban,26 Dec 2002, 
AJ Bichel (AUS),46.3,8,168,5,3.61,33.6,55.8,,v England,Sydney,2 Jan 2003, 
JN Gillespie (AUS),45.3,14,132,2,2.9,66,136.5,,v England,Sydney,2 Jan 2003, 
B Lee (AUS),62.3,14,229,5,3.66,45.8,75,,v England,Sydney,2 Jan 2003, 
M Hayward (SA),26,5,100,3,3.84,33.33,52,,v Pakistan,Cape Town,2 Jan 2003, 
JH Kallis (SA),12,2,35,0,2.91,-,-,,v Pakistan,Cape Town,2 Jan 2003, 
M Ntini (SA),35.5,9,95,8,2.65,11.87,26.8,,v Pakistan,Cape Town,2 Jan 2003, 
SM Pollock (SA),35,11,77,5,2.2,15.4,42,,v Pakistan,Cape Town,2 Jan 2003, 
M Dillon (WI),23,1,116,1,5.04,116,138,,v Australia,Georgetown,10 Apr 2003, 
VC Drakes (WI),26.1,5,93,5,3.55,18.6,31.4,,v Australia,Georgetown,10 Apr 2003, 
JJC Lawson (WI),21,0,111,2,5.28,55.5,63,,v Australia,Georgetown,10 Apr 2003, 
DE Bernard (WI),11,1,61,0,5.54,-,-,,v Australia,Port of Spain,19 Apr 2003, 
M Dillon (WI),47.1,1,188,4,3.98,47,70.7,,v Australia,Port of Spain,19 Apr 2003,
VC Drakes (WI),53,7,173,2,3.26,86.5,159,,v Australia,Port of Spain,19 Apr 2003, 
Khaled Mahmud (BDESH),17,5,56,0,3.29,-,-,,v South Africa,Chittagong,24 Apr 2003, 
Mashrafe Mortaza (BDESH),24,3,108,1,4.5,108,144,,v South Africa,Chittagong,24 Apr 2003, 
Tapash Baisya (BDESH),23,8,70,1,3.04,70,138,,v South Africa,Chittagong,24 Apr 2003, 
RAP Nissanka (SL),23,9,53,1,2.3,53,138,,v New Zealand,Colombo (PSS),25 Apr 2003, 
Khaled Mahmud (BDESH),14,6,36,0,2.57,-,-,,v South Africa,Dhaka,1 May 2003, 
Mashrafe Mortaza (BDESH),20,3,53,1,2.65,53,120,,v South Africa,Dhaka,1 May 2003, 
Tapash Baisya (BDESH),19,5,67,1,3.52,67,114,,v South Africa,Dhaka,1 May 2003, 
TL Best (WI),20,1,99,0,4.95,-,-,,v Australia,Bridgetown,1 May 2003, 
VC Drakes (WI),30,2,85,2,2.83,42.5,90,,v Australia,Bridgetown,1 May 2003, 
JJC Lawson (WI),32.3,2,131,3,4.03,43.66,65,,v Australia,Bridgetown,1 May 2003, 
RAP Nissanka (SL),26.5,9,59,3,2.19,19.66,53.6,,v New Zealand,Kandy,3 May 2003, 
M Dillon (WI),47,5,165,6,3.51,27.5,47,,v Australia,St John's,9 May 2003, 
VC Drakes (WI),34,3,134,2,3.94,67,102,,v Australia,St John's,9 May 2003, 
JJC Lawson (WI),19.1,3,78,7,4.06,11.14,16.4,,v Australia,St John's,9 May 2003, 
JM Anderson (ENG),31,8,138,5,4.45,27.6,37.2,,v Zimbabwe,Lord's,22 May 2003, 
MA Butcher (ENG),12.5,0,60,4,4.67,15,19.2,,v Zimbabwe,Lord's,22 May 2003, 
SJ Harmison (ENG),28,9,71,3,2.53,23.66,56,,v Zimbabwe,Lord's,22 May 2003, 
MJ Hoggard (ENG),33,13,59,3,1.78,19.66,66,,v Zimbabwe,Lord's,22 May 2003, 
JM Anderson (ENG),33,10,85,6,2.57,14.16,33,,v Zimbabwe,Chester-le-Street,5 Jun 2003, 
SJ Harmison (ENG),21.4,4,55,4,2.53,13.75,32.5,,v Zimbabwe,Chester-le-Street,5 Jun 2003, 
RL Johnson (ENG),34,11,100,6,2.94,16.66,34,,v Zimbabwe,Chester-le-Street,5 Jun 2003, 
CD Collymore (WI),29,5,66,5,2.27,13.2,34.8,,v Sri Lanka,Gros Islet,20 Jun 2003, 
M Dillon (WI),29,7,48,0,1.65,-,-,,v Sri Lanka,Gros Islet,20 Jun 2003, 
WW Hinds (WI),11,4,28,2,2.54,14,33,,v Sri Lanka,Gros Islet,20 Jun 2003, 
JE Taylor (WI),27,3,97,0,3.59,-,-,,v Sri Lanka,Gros Islet,20 Jun 2003, 
CD Collymore (WI),31,8,85,9,2.74,9.44,20.6,,v Sri Lanka,Kingston,27 Jun 2003, 
VC Drakes (WI),29,6,83,1,2.86,83,174,,v Sri Lanka,Kingston,27 Jun 2003, 
FH Edwards (WI),30.4,3,90,6,2.93,15,30.6,,v Sri Lanka,Kingston,27 Jun 2003, 
JE Taylor (WI),21,2,78,2,3.71,39,63,,v Sri Lanka,Kingston,27 Jun 2003, 
JN Gillespie (AUS),16,3,48,2,3,24,48,,v Bangladesh,Darwin,18 Jul 2003, 
B Lee (AUS),12,5,34,1,2.83,34,72,,v Bangladesh,Darwin,18 Jul 2003, 
GD McGrath (AUS),23,6,45,4,1.95,11.25,34.5,,v Bangladesh,Darwin,18 Jul 2003, 
JM Anderson (ENG),26,3,129,1,4.96,129,156,,v South Africa,Birmingham,24 Jul 2003, 
A Flintoff (ENG),25,6,97,0,3.88,-,-,,v South Africa,Birmingham,24 Jul 2003, 
D Gough (ENG),25,6,88,1,3.52,88,150,,v South Africa,Birmingham,24 Jul 2003, 
SJ Harmison (ENG),27,2,104,1,3.85,104,162,,v South Africa,Birmingham,24 Jul 2003, 
JN Gillespie (AUS),37.4,10,95,7,2.52,13.57,32.2,,v Bangladesh,Cairns,25 Jul 2003, 
B Lee (AUS),29,3,133,2,4.58,66.5,87,,v Bangladesh,Cairns,25 Jul 2003, 
GD McGrath (AUS),32.1,11,79,1,2.45,79,193,,v Bangladesh,Cairns,25 Jul 2003, 
JM Anderson (ENG),27,6,90,2,3.33,45,81,,v South Africa,Lord's,31 Jul 2003, 
A Flintoff (ENG),40,10,115,1,2.87,115,240,,v South Africa,Lord's,31 Jul 2003, 
D Gough (ENG),28,3,127,0,4.53,-,-,,v South Africa,Lord's,31 Jul 2003, 
SJ Harmison (ENG),22,3,103,1,4.68,103,132,,v South Africa,Lord's,31 Jul 2003, 
A McGrath (ENG),11,0,40,1,3.63,40,66,,v South Africa,Lord's,31 Jul 2003, 
JM Anderson (ENG),39.5,8,119,7,2.98,17,34.1,,v South Africa,Nottingham,14 Aug 2003, 
A Flintoff (ENG),50,12,145,3,2.9,48.33,100,,v South Africa,Nottingham,14 Aug 2003, 
SJ Harmison (ENG),28,5,66,2,2.35,33,84,,v South Africa,Nottingham,14 Aug 2003, 
RJ Kirtley (ENG),47.2,15,114,8,2.4,14.25,35.5,,v South Africa,Nottingham,14 Aug 2003, 
Shabbir Ahmed (PAK),38.4,5,109,8,2.81,13.62,29,,v Bangladesh,Karachi,20 Aug 2003, 
Shoaib Akhtar (PAK),43,12,115,3,2.67,38.33,86,,v Bangladesh,Karachi,20 Aug 2003, 
Umar Gul (PAK),39,8,148,2,3.79,74,117,,v Bangladesh,Karachi,20 Aug 2003, 
Kabir Ali (ENG),36,5,136,5,3.77,27.2,43.2,,v South Africa,Leeds,21 Aug 2003, 
JM Anderson (ENG),34,11,119,2,3.5,59.5,102,,v South Africa,Leeds,21 Aug 2003, 
MP Bicknell (ENG),49,14,125,4,2.55,31.25,73.5,,v South Africa,Leeds,21 Aug 2003, 
A Flintoff (ENG),40,10,118,4,2.95,29.5,60,,v South Africa,Leeds,21 Aug 2003, 
RJ Kirtley (ENG),51.3,17,145,5,2.81,29,61.8,,v South Africa,Leeds,21 Aug 2003, 
Shabbir Ahmed (PAK),25,7,73,1,2.92,73,150,,v Bangladesh,Peshawar,27 Aug 2003, 
Shoaib Akhtar (PAK),34.5,6,80,10,2.29,8,20.9,,v Bangladesh,Peshawar,27 Aug 2003, 
Umar Gul (PAK),27,3,67,2,2.48,33.5,81,,v Bangladesh,Peshawar,27 Aug 2003, 
Shabbir Ahmed (PAK),48.2,9,138,7,2.85,19.71,41.4,,v Bangladesh,Multan,3 Sep 2003, 
Umar Gul (PAK),47,9,144,8,3.06,18,35.2,,v Bangladesh,Multan,3 Sep 2003, 
Yasir Ali (PAK),14,4,43,1,3.07,43,84,,v Bangladesh,Multan,3 Sep 2003, 
JM Anderson (ENG),35,7,141,3,4.02,47,70,,v South Africa,The Oval,4 Sep 2003, 
MP Bicknell (ENG),44,8,155,6,3.52,25.83,44,,v South Africa,The Oval,4 Sep 2003, 
A Flintoff (ENG),19,4,88,1,4.63,88,114,,v South Africa,The Oval,4 Sep 2003, 
SJ Harmison (ENG),46.2,16,106,4,2.28,26.5,69.5,,v South Africa,The Oval,4 Sep 2003, 
L Balaji (INDIA),37,11,105,1,2.83,105,222,,v New Zealand,Ahmedabad,8 Oct 2003, 
AJ Bichel (AUS),49.2,17,125,6,2.53,20.83,49.3,,v Zimbabwe,Perth,9 Oct 2003, 
JN Gillespie (AUS),25.3,9,52,3,2.03,17.33,51,,v Zimbabwe,Perth,9 Oct 2003, 
B Lee (AUS),50,12,144,4,2.88,36,75,,v Zimbabwe,Perth,9 Oct 2003, 
DR Martyn (AUS),13,5,34,0,2.61,-,-,,v Zimbabwe,Perth,9 Oct 2003, 
L Balaji (INDIA),30,10,78,0,2.6,-,-,,v New Zealand,Mohali,16 Oct 2003, 
AJ Bichel (AUS),43.2,12,130,4,3,32.5,65,,v Zimbabwe,Sydney,17 Oct 2003, 
B Lee (AUS),23,5,78,2,3.39,39,69,,v Zimbabwe,Sydney,17 Oct 2003, 
BA Williams (AUS),39,14,114,4,2.92,28.5,58.5,,v Zimbabwe,Sydney,17 Oct 2003, 
Mohammad Sami (PAK),32.3,2,143,1,4.4,143,195,,v South Africa,Lahore,17 Oct 2003, 
Shoaib Akhtar (PAK),28.3,3,98,6,3.43,16.33,28.5,,v South Africa,Lahore,17 Oct 2003, 
Khaled Mahmud (BDESH),17,7,45,0,2.64,-,-,,v England,Dhaka,21 Oct 2003, 
Mashrafe Mortaza (BDESH),34,8,87,4,2.55,21.75,51,,v England,Dhaka,21 Oct 2003, 
Mushfiqur Rahman (BDESH),17,6,55,2,3.23,27.5,51,,v England,Dhaka,21 Oct 2003, 
Abdul Razzaq (PAK),40,7,138,5,3.45,27.6,48,,v South Africa,Faisalabad,24 Oct 2003, 
Shabbir Ahmed (PAK),60.3,18,144,6,2.38,24,60.5,,v South Africa,Faisalabad,24 Oct 2003, 
Khaled Mahmud (BDESH),37,11,110,1,2.97,110,222,,v England,Chittagong,29 Oct 2003, 
Mashrafe Mortaza (BDESH),28,11,60,4,2.14,15,42,,v England,Chittagong,29 Oct 2003, 
Mushfiqur Rahman (BDESH),18.3,6,50,2,2.7,25,55.5,,v England,Chittagong,29 Oct 2003, 
AM Blignaut (ZIM),28,5,118,2,4.21,59,84,,v West Indies,Harare,4 Nov 2003, 
NB Mahwire (ZIM),25,7,75,2,3,37.5,75,,v West Indies,Harare,4 Nov 2003, 
HH Streak (ZIM),43,16,102,4,2.37,25.5,64.5,,v West Indies,Harare,4 Nov 2003, 
AM Blignaut (ZIM),34.4,10,115,7,3.31,16.42,29.7,,v West Indies,Bulawayo,12 Nov 2003, 
NB Mahwire (ZIM),15,3,79,0,5.26,-,-,,v West Indies,Bulawayo,12 Nov 2003, 
HH Streak (ZIM),39,6,126,4,3.23,31.5,58.5,,v West Indies,Bulawayo,12 Nov 2003, 
AJ Bichel (AUS),28,6,130,1,4.64,130,168,,v India,Brisbane,4 Dec 2003, 
JN Gillespie (AUS),31,12,65,4,2.09,16.25,46.5,,v India,Brisbane,4 Dec 2003, 
AJ Bichel (AUS),39.4,4,153,5,3.85,30.6,47.6,,v India,Adelaide,12 Dec 2003, 
JN Gillespie (AUS),51.1,15,128,2,2.5,64,153.5,,v India,Adelaide,12 Dec 2003, 
BA Williams (AUS),37,13,106,0,2.86,-,-,,v India,Adelaide,12 Dec 2003, 
JH Kallis (SA),22,6,53,1,2.4,53,132,,v West Indies,Johannesburg,12 Dec 2003, 
A Nel (SA),45.5,14,127,5,2.77,25.4,55,,v West Indies,Johannesburg,12 Dec 2003, 
M Ntini (SA),46,13,147,9,3.19,16.33,30.6,,v West Indies,Johannesburg,12 Dec 2003, 
SM Pollock (SA),47,13,96,5,2.04,19.2,56.4,,v West Indies,Johannesburg,12 Dec 2003, 
CRD Fernando (SL),24,7,82,4,3.41,20.5,36,,v England,Colombo (SSC),18 Dec 2003, 
IG Butler (NZ),23.4,6,113,2,4.77,56.5,71,,v Pakistan,Hamilton,19 Dec 2003, 
CL Cairns (NZ),17,0,60,0,3.52,-,-,,v Pakistan,Hamilton,19 Dec 2003, 
JDP Oram (NZ),23,7,55,2,2.39,27.5,69,,v Pakistan,Hamilton,19 Dec 2003, 
SB Styris (NZ),12,4,27,0,2.25,-,-,,v Pakistan,Hamilton,19 Dec 2003, 
DR Tuffey (NZ),33,8,87,5,2.63,17.4,39.6,,v Pakistan,Hamilton,19 Dec 2003, 
IG Butler (NZ),38.5,7,146,7,3.75,20.85,33.2,,v Pakistan,Wellington,26 Dec 2003, 
JDP Oram (NZ),22,5,49,2,2.22,24.5,66,,v Pakistan,Wellington,26 Dec 2003, 
DR Tuffey (NZ),38,14,87,1,2.28,87,228,,v Pakistan,Wellington,26 Dec 2003, 
B Lee (AUS),49,10,200,4,4.08,50,73.5,,v India,Melbourne,26 Dec 2003, 
BA Williams (AUS),42,11,119,5,2.83,23.8,50.4,,v India,Melbourne,26 Dec 2003, 
AJ Hall (SA),23,5,71,1,3.08,71,138,,v West Indies,Durban,26 Dec 2003, 
JH Kallis (SA),11,3,20,1,1.81,20,66,,v West Indies,Durban,26 Dec 2003, 
A Nel (SA),31,7,111,6,3.58,18.5,31,,v West Indies,Durban,26 Dec 2003, 
M Ntini (SA),51.5,16,138,8,2.66,17.25,38.8,,v West Indies,Durban,26 Dec 2003, 
SM Pollock (SA),45,12,101,3,2.24,33.66,90,,v West Indies,Durban,26 Dec 2003, 
JN Gillespie (AUS),45,11,135,3,3,45,90,,v India,Sydney,2 Jan 2004, 
B Lee (AUS),51.5,7,276,4,5.32,69,77.7,,v India,Sydney,2 Jan 2004, 
JH Kallis (SA),37,11,102,1,2.75,102,222,,v West Indies,Cape Town,2 Jan 2004, 
A Nel (SA),49.1,13,144,6,2.92,24,49.1,,v West Indies,Cape Town,2 Jan 2004, 
M Ntini (SA),41,5,187,4,4.56,46.75,61.5,,v West Indies,Cape Town,2 Jan 2004, 
SM Pollock (SA),41,9,152,3,3.7,50.66,82,,v West Indies,Cape Town,2 Jan 2004, 
AJ Hall (SA),11,0,65,0,5.9,-,-,,v West Indies,Centurion,16 Jan 2004, 
JH Kallis (SA),28,8,95,2,3.39,47.5,84,,v West Indies,Centurion,16 Jan 2004, 
