Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
M Ntini (SA),35.5,9,95,8,2.65,11.87,26.8,v Pakistan,Cape Town,2 Jan 2003,1,1,1
B Kumar (INDIA),38,13,96,8,2.52,12,28.5,v Sri Lanka,Kolkata,16 Nov 2017,1,1,1
MJ Hoggard (ENG),27.5,9,97,8,3.48,12.12,20.8,v Bangladesh,Chester-le-Street,3 Jun 2005,1,1,1
SJ Harmison (ENG),39,6,97,8,2.48,12.12,29.2,v Australia,Lord's,21 Jul 2005,1,1,1
BW Hilfenhaus (AUS),36,11,97,8,2.69,12.12,27,v India,Perth,13 Jan 2012,1,1,1
DW Steyn (SA),36.2,7,99,8,2.72,12.37,27.2,v New Zealand,Centurion,27 Aug 2016,1,1,1
D Gough (ENG),32,9,101,8,3.15,12.62,24,v Pakistan,Lord's,17 May 2001,1,1,1
DW Steyn (SA),39.5,12,104,8,2.61,13,29.8,v West Indies,Cape Town,2 Jan 2008,1,1,1
JL Pattinson (AUS),34.5,10,105,8,3.01,13.12,26.1,v New Zealand,Hobart,9 Dec 2011,1,1,1
AR Caddick (ENG),35,6,106,8,3.02,13.25,26.2,v Pakistan,Lord's,17 May 2001,1,1,1
CA Walsh (WI),57.4,18,108,8,1.87,13.5,43.2,v South Africa,Port of Spain,17 Mar 2001,1,1,1
CL Cairns (NZ),29.2,2,108,8,3.68,13.5,22,v Bangladesh,Hamilton,18 Dec 2001,1,1,1
SCJ Broad (ENG),32,4,108,8,3.37,13.5,24,v New Zealand,Lord's,16 May 2013,1,1,1
Shabbir Ahmed (PAK),38.4,5,109,8,2.81,13.62,29,v Bangladesh,Karachi,20 Aug 2003,1,1,1
M Ntini (SA),40,12,109,8,2.72,13.62,30,v Pakistan,Port Elizabeth,19 Jan 2007,1,1,1
AM Blignaut (ZIM),37,9,110,8,2.97,13.75,27.7,v Bangladesh,Bulawayo,19 Apr 2001,1,1,1
DW Steyn (SA),34.5,7,110,8,3.15,13.75,26.1,v India,Durban,26 Dec 2010,1,1,1
B Lee (AUS),44.5,16,112,8,2.49,14,33.6,v Sri Lanka,Brisbane,8 Nov 2007,1,1,1
PM Siddle (AUS),54.5,23,113,8,2.06,14.12,41.1,v South Africa,Sydney,3 Jan 2009,1,1,1
RJ Kirtley (ENG),47.2,15,114,8,2.4,14.25,35.5,v South Africa,Nottingham,14 Aug 2003,1,1,1
KAJ Roach (WI),37.1,6,116,8,3.12,14.5,27.8,v New Zealand,Bridgetown,26 Jun 2014,1,1,1
ST Finn (ENG),31,4,117,8,3.77,14.62,23.2,v Australia,Birmingham,29 Jul 2015,1,1,1
M Dillon (WI),42.2,9,123,8,2.9,15.37,31.7,v India,Bridgetown,2 May 2002,1,1,1
GD McGrath (AUS),42,12,123,8,2.92,15.37,31.5,v England,Brisbane,7 Nov 2002,1,1,1
M de Lange (SA),36.2,5,126,8,3.46,15.75,27.2,v Sri Lanka,Durban,26 Dec 2011,1,1,1
TS Roland-Jones (ENG),34.4,8,129,8,3.72,16.12,26,v South Africa,The Oval,27 Jul 2017,1,1,1
FH Edwards (WI),42,6,132,8,3.14,16.5,31.5,v India,Bridgetown,28 Jun 2011,1,1,1
M Ntini (SA),51,11,138,8,2.7,17.25,38.2,v Sri Lanka,Centurion,15 Nov 2002,1,1,1
M Ntini (SA),51.5,16,138,8,2.66,17.25,38.8,v West Indies,Durban,26 Dec 2003,1,1,1
TG Southee (NZ),45,10,140,8,3.11,17.5,33.7,v Pakistan,Hamilton,25 Nov 2016,1,1,1
JR Hazlewood (AUS),46,15,140,8,3.04,17.5,34.5,v England,Perth,14 Dec 2017,1,1,1
TT Bresnan (ENG),44,9,141,8,3.2,17.62,33,v West Indies,Nottingham,25 May 2012,1,1,1
TG Southee (NZ),41.2,9,142,8,3.43,17.75,31,v Bangladesh,Christchurch,20 Jan 2017,1,1,1
Umar Gul (PAK),47,9,144,8,3.06,18,35.2,v Bangladesh,Multan,3 Sep 2003,1,1,1
FH Edwards (WI),42.5,7,144,8,3.36,18,32.1,v Australia,Kingston,22 May 2008,1,1,1
M Ntini (SA),48,11,148,8,3.08,18.5,36,v West Indies,Centurion,16 Jan 2004,1,1,1
ST Finn (ENG),45,7,149,8,3.31,18.62,33.7,v South Africa,Lord's,16 Aug 2012,1,1,1
SE Bond (NZ),48.5,9,153,8,3.13,19.12,36.6,v Pakistan,Dunedin,24 Nov 2009,1,1,1
BW Hilfenhaus (AUS),54.5,17,157,8,2.86,19.62,41.1,v India,Sydney,3 Jan 2012,1,1,1
AM Blignaut (ZIM),41,5,160,8,3.9,20,30.7,v Pakistan,Harare,9 Nov 2002,1,1,1
SCJ Broad (ENG),51.4,12,165,8,3.19,20.62,38.7,v South Africa,Leeds,2 Aug 2012,1,1,1
B Lee (AUS),49.5,7,169,8,3.39,21.12,37.3,v Sri Lanka,Hobart,16 Nov 2007,1,1,1
KTGD Prasad (SL),45,7,169,8,3.75,21.12,33.7,v India,Colombo (SSC),28 Aug 2015,1,1,1
Shoaib Akhtar (PAK),44,4,175,8,3.97,21.87,33,v Sri Lanka,Faisalabad,20 Oct 2004,1,1,1
B Lee (AUS),48.5,8,181,8,3.7,22.62,36.6,v New Zealand,Perth,30 Nov 2001,1,1,1
SJ Harmison (ENG),60,15,202,8,3.36,25.25,45,v New Zealand,Lord's,20 May 2004,1,1,1
MS Kasprowicz (AUS),17.4,3,39,7,2.2,5.57,15.1,v Sri Lanka,Darwin,1 Jul 2004,1,1,1
DJG Sammy (WI),29,13,45,7,1.55,6.42,24.8,v Pakistan,Providence,12 May 2011,1,1,1
CEL Ambrose (WI),36,19,50,7,1.38,7.14,30.8,v Zimbabwe,Port of Spain,16 Mar 2000,1,1,1
JM Anderson (ENG),31,12,54,7,1.74,7.71,26.5,v South Africa,Manchester,4 Aug 2017,1,1,1
GD McGrath (AUS),31,13,61,7,1.96,8.71,26.5,v Sri Lanka,Darwin,1 Jul 2004,1,1,1
C de Grandhomme (NZ),29.5,9,64,7,2.14,9.14,25.5,v Pakistan,Christchurch,17 Nov 2016,1,1,1
CD Collymore (WI),43.1,20,65,7,1.5,9.28,37,v India,Kingston,30 Jun 2006,1,1,1
JM Anderson (ENG),35.3,16,70,7,1.97,10,30.4,v New Zealand,Lord's,16 May 2013,1,1,1
SM Pollock (SA),33.5,11,72,7,2.12,10.28,29,v India,Johannesburg,15 Dec 2006,1,1,1
M Ntini (SA),33.5,15,74,7,2.18,10.57,29,v Bangladesh,East London,18 Oct 2002,1,1,1
R Rampaul (WI),38,11,75,7,1.97,10.71,32.5,v Pakistan,Providence,12 May 2011,1,1,1
VD Philander (SA),26,5,75,7,2.88,10.71,22.2,v Sri Lanka,Cape Town,2 Jan 2017,1,1,1
DR Tuffey (NZ),29.5,7,77,7,2.58,11,25.5,v Pakistan,Hamilton,27 Mar 2001,1,1,1
JM Anderson (ENG),40.1,15,77,7,1.91,11,34.4,v India,Southampton,27 Jul 2014,1,1,1
JJC Lawson (WI),19.1,3,78,7,4.06,11.14,16.4,v Australia,St John's,9 May 2003,1,1,1
JR Hazlewood (AUS),28.3,8,78,7,2.73,11.14,24.4,v West Indies,Hobart,10 Dec 2015,1,1,1
RD King (WI),33,9,81,7,2.45,11.57,28.2,v Zimbabwe,Kingston,24 Mar 2000,1,1,1
JR Hazlewood (AUS),45.5,14,84,7,1.83,12,39.2,v Pakistan,Sydney,3 Jan 2017,1,1,1
D Gough (ENG),27,5,89,7,3.29,12.71,23.1,v West Indies,Leeds,17 Aug 2000,1,1,1
DJ Terbrugge (SA),26.4,4,89,7,3.33,12.71,22.8,v Bangladesh,East London,18 Oct 2002,1,1,1
TG Southee (NZ),33.3,7,89,7,2.65,12.71,28.7,v Sri Lanka,Hamilton,18 Dec 2015,1,1,1
M Dillon (WI),34.1,8,91,7,2.66,13,29.2,v South Africa,Kingston,19 Apr 2001,1,1,1
SR Clark (AUS),38.1,11,93,7,2.43,13.28,32.7,v England,Brisbane,23 Nov 2006,1,1,1
SCJ Broad (ENG),42.3,12,94,7,2.21,13.42,36.4,v India,Lord's,21 Jul 2011,1,1,1
JN Gillespie (AUS),37.4,10,95,7,2.52,13.57,32.2,v Bangladesh,Cairns,25 Jul 2003,1,1,1
CRD Fernando (SL),21,2,95,7,4.52,13.57,18,v Bangladesh,Colombo (PSS),20 Sep 2005,1,1,1
JN Gillespie (AUS),41.1,13,96,7,2.33,13.71,35.2,v England,Melbourne,26 Dec 2002,1,1,1
TT Bresnan (ENG),33,8,96,7,2.9,13.71,28.2,v India,Nottingham,29 Jul 2011,1,1,1
MM Patel (INDIA),38,10,97,7,2.55,13.85,32.5,v England,Mohali,9 Mar 2006,1,1,1
M Morkel (SA),27,6,98,7,3.62,14,23.1,v England,Johannesburg,14 Jan 2010,1,1,1
SE Bond (NZ),31.5,9,99,7,3.1,14.14,27.2,v India,Wellington,12 Dec 2002,1,1,1
CS Martin (NZ),29,4,100,7,3.44,14.28,24.8,v Bangladesh,Wellington,12 Jan 2008,1,1,1
GD McGrath (AUS),42.1,11,103,7,2.44,14.71,36.1,v England,Brisbane,23 Nov 2006,1,1,1
CS Martin (NZ),38,11,104,7,2.73,14.85,32.5,v Sri Lanka,Wellington,11 Apr 2005,1,1,1
SL Malinga (SL),30,2,105,7,3.5,15,25.7,v India,Galle,18 Jul 2010,1,1,1
SE Bond (NZ),32.1,7,106,7,3.29,15.14,27.5,v Sri Lanka,Christchurch,7 Dec 2006,1,1,1
CR Woakes (ENG),31.3,3,108,7,3.42,15.42,27,v Pakistan,Manchester,22 Jul 2016,1,1,1
AJ Tudor (ENG),46,14,109,7,2.36,15.57,39.4,v Sri Lanka,Manchester,13 Jun 2002,1,1,1
JH Kallis (SA),30.1,7,110,7,3.64,15.71,25.8,v Sri Lanka,Centurion,15 Nov 2002,1,1,1
SP Jones (ENG),34.5,9,110,7,3.15,15.71,29.8,v Australia,Manchester,11 Aug 2005,1,1,1
B Lee (AUS),30,7,113,7,3.76,16.14,25.7,v West Indies,Perth,1 Dec 2000,1,1,1
M Ntini (SA),45.4,16,114,7,2.49,16.28,39.1,v New Zealand,Bloemfontein,17 Nov 2000,1,1,1
M Morkel (SA),43.4,11,114,7,2.61,16.28,37.4,v India,Centurion,16 Dec 2010,1,1,1
CT Tremlett (ENG),41,10,114,7,2.78,16.28,35.1,v Sri Lanka,Southampton,16 Jun 2011,1,1,1
BW Hilfenhaus (AUS),44,9,114,7,2.59,16.28,37.7,v India,Melbourne,26 Dec 2011,1,1,1
HH Streak (ZIM),47,16,115,7,2.44,16.42,40.2,v India,Harare,15 Jun 2001,1,1,1
AM Blignaut (ZIM),34.4,10,115,7,3.31,16.42,29.7,v West Indies,Bulawayo,12 Nov 2003,1,1,1
DW Steyn (SA),27.5,2,115,7,4.13,16.42,23.8,v England,Johannesburg,14 Jan 2010,1,1,1
KAJ Roach (WI),46.2,12,115,7,2.48,16.42,39.7,v New Zealand,North Sound,25 Jul 2012,1,1,1
KM Jarvis (ZIM),33,9,115,7,3.48,16.42,28.2,v Bangladesh,Harare,17 Apr 2013,1,1,1
KAJ Roach (WI),37.3,12,116,7,3.09,16.57,32.1,v Bangladesh,St George's,17 Jul 2009,1,1,1
I Sharma (INDIA),44,10,117,7,2.65,16.71,37.7,v Australia,Bengaluru,9 Oct 2008,1,1,1
JM Bird (AUS),41,15,117,7,2.85,16.71,35.1,v Sri Lanka,Sydney,3 Jan 2013,1,1,1
JM Anderson (ENG),43.2,10,117,7,2.7,16.71,37.1,v South Africa,Nottingham,14 Jul 2017,1,1,1
JM Anderson (ENG),50,17,118,7,2.36,16.85,42.8,v Sri Lanka,Lord's,12 Jun 2014,1,1,1
M Hayward (SA),23.4,2,119,7,5.02,17,20.2,v Pakistan,Durban,26 Dec 2002,1,1,1
JM Anderson (ENG),39.5,8,119,7,2.98,17,34.1,v South Africa,Nottingham,14 Aug 2003,1,1,1
MJ Hoggard (ENG),40.5,11,120,7,2.93,17.14,35,v India,Lord's,25 Jul 2002,1,1,1
CS Martin (NZ),38.2,8,120,7,3.13,17.14,32.8,v South Africa,Wellington,26 Mar 2004,1,1,1
