Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
WPUJC Vaas (SL),39.5,5,147,6,3.69,24.5,39.8,v Pakistan,Lahore,6 Mar 2002,0,0,1
JEC Franklin (NZ),26.3,2,154,6,5.81,25.66,26.5,v South Africa,Johannesburg,5 May 2006,0,0,1
IDR Bradshaw (WI),57.1,13,156,6,2.72,26,57.1,v New Zealand,Auckland,9 Mar 2006,0,0,1
JEC Franklin (NZ),43.1,6,163,6,3.77,27.16,43.1,v England,Nottingham,10 Jun 2004,0,0,1
RP Singh (INDIA),35.5,6,163,6,4.54,27.16,35.8,v Australia,Perth,16 Jan 2008,0,0,1
Wahab Riaz (PAK),45,6,164,6,3.64,27.33,45,v Sri Lanka,Colombo (SSC),14 Aug 2014,0,0,1
IK Pathan (INDIA),42.1,7,167,6,3.96,27.83,42.1,v Pakistan,Karachi,29 Jan 2006,0,0,1
UWMBCA Welegedara (SL),48,4,219,6,4.56,36.5,48,v Australia,Hobart,14 Dec 2012,0,0,1
PT Collins (WI),17.1,7,26,5,1.51,5.2,20.6,v Bangladesh,Dhaka,8 Dec 2002,0,0,1
JEC Franklin (NZ),17,7,28,5,1.64,5.6,20.4,v Bangladesh,Dhaka,19 Oct 2004,0,0,1
Z Khan (INDIA),10,1,34,5,3.4,6.8,12,v Bangladesh,Dhaka,25 May 2007,0,0,1
Z Khan (INDIA),25,8,53,5,2.12,10.6,30,v New Zealand,Wellington,12 Dec 2002,0,0,1
TA Boult (NZ),22,4,57,5,2.59,11.4,26.4,v England,Leeds,24 May 2013,0,0,1
Wahab Riaz (PAK),18,6,63,5,3.5,12.6,21.6,v England,The Oval,18 Aug 2010,0,0,1
MG Johnson (AUS),19.3,3,69,5,3.53,13.8,23.4,v England,Leeds,7 Aug 2009,0,0,1
MG Johnson (AUS),28.5,5,72,5,2.49,14.4,34.6,v West Indies,Roseau,3 Jun 2015,0,0,1
Junaid Khan (PAK),28,6,73,5,2.6,14.6,33.6,v Sri Lanka,Colombo (SSC),30 Jun 2012,0,0,1
WPUJC Vaas (SL),30,7,82,5,2.73,16.4,36,v New Zealand,Christchurch,7 Dec 2006,0,0,1
TA Boult (NZ),38.4,15,84,5,2.17,16.8,46.4,v India,Kolkata,30 Sep 2016,0,0,1
UWMBCA Welegedara (SL),32.4,8,85,5,2.6,17,39.2,v South Africa,Durban,26 Dec 2011,0,0,1
Junaid Khan (PAK),27,6,87,5,3.22,17.4,32.4,v Sri Lanka,Colombo (SSC),14 Aug 2014,0,0,1
WPUJC Vaas (SL),37,14,94,5,2.54,18.8,44.4,v Zimbabwe,Bulawayo,14 May 2004,0,0,1
Z Khan (INDIA),23,2,95,5,4.13,19,27.6,v Australia,Brisbane,4 Dec 2003,0,0,1
A Nehra (INDIA),38.4,5,100,5,2.58,20,46.4,v Zimbabwe,Bulawayo,7 Jun 2001,0,0,1
Junaid Khan (PAK),52,17,104,5,2,20.8,62.4,v Zimbabwe,Harare,10 Sep 2013,0,0,1
Z Khan (INDIA),32.5,8,111,5,3.38,22.2,39.4,v South Africa,Johannesburg,15 Dec 2006,0,0,1
WPUJC Vaas (SL),36,6,113,5,3.13,22.6,43.2,v Pakistan,Peshawar,5 Mar 2000,0,0,1
MG Johnson (AUS),23.5,3,113,5,4.74,22.6,28.6,v West Indies,Bridgetown,12 Jun 2008,0,0,1
MG Johnson (AUS),36.4,7,114,5,3.1,22.8,44,v India,Mohali,1 Oct 2010,0,0,1
N Wagner (NZ),43,10,114,5,2.65,22.8,51.6,v West Indies,Bridgetown,26 Jun 2014,0,0,1
IK Pathan (INDIA),33,4,117,5,3.54,23.4,39.6,v Australia,Perth,16 Jan 2008,0,0,1
TA Boult (NZ),39.2,6,119,5,3.02,23.8,47.2,v West Indies,Bridgetown,26 Jun 2014,0,0,1
Wahab Riaz (PAK),42,7,120,5,2.85,24,50.4,v Sri Lanka,Galle,17 Jun 2015,0,0,1
A Nehra (INDIA),51,12,124,5,2.43,24.8,61.2,v West Indies,Port of Spain,19 Apr 2002,0,0,1
Mustafizur Rahman (BDESH),44,9,128,5,2.9,25.6,52.8,v Sri Lanka,Colombo (PSS),15 Mar 2017,0,0,1
T Thushara (SL),37.5,5,129,5,3.4,25.8,45.4,v West Indies,Providence,22 Mar 2008,0,0,1
MG Johnson (AUS),44,6,131,5,2.97,26.2,52.8,v England,Cardiff,8 Jul 2009,0,0,1
MA Starc (AUS),49,12,135,5,2.75,27,58.8,v England,Nottingham,10 Jul 2013,0,0,1
Z Khan (INDIA),41,5,136,5,3.31,27.2,49.2,v South Africa,Cape Town,2 Jan 2007,0,0,1
PDRL Perera (SL),41,4,138,5,3.36,27.6,49.2,v England,Lord's,16 May 2002,0,0,1
WPUJC Vaas (SL),58,11,139,5,2.39,27.8,69.6,v Pakistan,Rawalpindi,26 Feb 2000,0,0,1
Wahab Riaz (PAK),31.2,1,141,5,4.5,28.2,37.6,v England,The Oval,11 Aug 2016,0,0,1
Z Khan (INDIA),40,9,144,5,3.6,28.8,48,v Bangladesh,Chittagong,17 Jan 2010,0,0,1
DE Bollinger (AUS),30,5,144,5,4.8,28.8,36,v New Zealand,Hamilton,27 Mar 2010,0,0,1
WPUJC Vaas (SL),47,5,151,5,3.21,30.2,56.4,v Pakistan,Karachi,28 Oct 2004,0,0,1
Rahat Ali (PAK),42,7,156,5,3.71,31.2,50.4,v Sri Lanka,Pallekele,3 Jul 2015,0,0,1
Z Khan (INDIA),44,6,157,5,3.56,31.4,52.8,v West Indies,Kingston,18 May 2002,0,0,1
UWMBCA Welegedara (SL),43,5,163,5,3.79,32.6,51.6,v India,Ahmedabad,16 Nov 2009,0,0,1
RP Singh (INDIA),47,6,164,5,3.48,32.8,56.4,v Pakistan,Faisalabad,21 Jan 2006,0,0,1
UWMBCA Welegedara (SL),38,5,172,5,4.52,34.4,45.6,v England,Lord's,3 Jun 2011,0,0,1
Mohammad Amir (PAK),51,13,180,5,3.52,36,61.2,v Australia,Melbourne,26 Dec 2009,0,0,1
Z Khan (INDIA),43.4,3,187,5,4.28,37.4,52.4,v Australia,Melbourne,26 Dec 2007,0,0,1
RP Singh (INDIA),42,5,198,5,4.71,39.6,50.4,v Australia,Sydney,2 Jan 2008,0,0,1
Z Khan (INDIA),60.3,7,223,5,3.68,44.6,72.6,v South Africa,Johannesburg,18 Dec 2013,0,0,1
Z Khan (INDIA),68,16,227,5,3.33,45.4,81.6,v New Zealand,Wellington,14 Feb 2014,0,0,1
WPUJC Vaas (SL),21,14,20,4,0.95,5,31.5,v India,Chennai,2 Dec 2005,0,0,1
JP Faulkner (AUS),19.4,3,51,4,2.59,12.75,29.5,v England,The Oval,21 Aug 2013,0,0,1
Z Khan (INDIA),19,4,58,4,3.05,14.5,28.5,v Zimbabwe,Harare,20 Sep 2005,0,0,1
Rahat Ali (PAK),15.5,2,62,4,3.91,15.5,23.7,v New Zealand,Christchurch,17 Nov 2016,0,0,1
MG Johnson (AUS),27,4,70,4,2.59,17.5,40.5,v India,Bengaluru,9 Oct 2008,0,0,1
TA Boult (NZ),28,8,75,4,2.67,18.75,42,v Zimbabwe,Bulawayo,28 Jul 2016,0,0,1
DNT Zoysa (SL),22,8,76,4,3.45,19,33,v South Africa,Centurion,20 Jan 2001,0,0,1
Mohammad Amir (PAK),40,10,76,4,1.9,19,60,v England,Nottingham,29 Jul 2010,0,0,1
TA Boult (NZ),25,5,80,4,3.2,20,37.5,v Australia,Hobart,9 Dec 2011,0,0,1
MA Starc (AUS),27,7,84,4,3.11,21,40.5,v West Indies,Kingston,11 Jun 2015,0,0,1
Wahab Riaz (PAK),26,4,89,4,3.42,22.25,39,v Australia,Brisbane,15 Dec 2016,0,0,1
Junaid Khan (PAK),35,11,91,4,2.6,22.75,52.5,v Zimbabwe,Harare,3 Sep 2013,0,0,1
Mohammad Amir (PAK),31,7,97,4,3.12,24.25,46.5,v Australia,Brisbane,15 Dec 2016,0,0,1
Z Khan (INDIA),33,7,98,4,2.96,24.5,49.5,v Zimbabwe,Bulawayo,7 Jun 2001,0,0,1
Z Khan (INDIA),35.1,7,102,4,2.9,25.5,52.7,v West Indies,Port of Spain,19 Apr 2002,0,0,1
TA Boult (NZ),29,3,104,4,3.58,26,43.5,v West Indies,Kingston,2 Aug 2012,0,0,1
Wahab Riaz (PAK),26,3,109,4,4.19,27.25,39,v Bangladesh,Dhaka,6 May 2015,0,0,1
Mohammad Amir (PAK),47,13,109,4,2.31,27.25,70.5,v West Indies,Bridgetown,30 Apr 2017,0,0,1
A Nehra (INDIA),32,9,112,4,3.5,28,48,v West Indies,Bridgetown,2 May 2002,0,0,1
N Wagner (NZ),41,10,114,4,2.78,28.5,61.5,v England,Lord's,16 May 2013,0,0,1
MG Johnson (AUS),49,14,115,4,2.34,28.75,73.5,v South Africa,Durban,6 Mar 2009,0,0,1
Rahat Ali (PAK),28,1,115,4,4.1,28.75,42,v England,Lord's,14 Jul 2016,0,0,1
Mohammad Amir (PAK),40,10,116,4,2.9,29,60,v New Zealand,Dunedin,24 Nov 2009,0,0,1
WPUJC Vaas (SL),40,3,128,4,3.2,32,60,v West Indies,Port of Spain,3 Apr 2008,0,0,1
Mohammad Amir (PAK),47,11,128,4,2.72,32,70.5,v England,Birmingham,3 Aug 2016,0,0,1
Syed Rasel (BDESH),21.3,2,129,4,6,32.25,32.2,v Sri Lanka,Colombo (PSS),20 Sep 2005,0,0,1
MG Johnson (AUS),32,1,129,4,4.03,32.25,48,v England,The Oval,20 Aug 2009,0,0,1
PT Collins (WI),38,7,130,4,3.42,32.5,57,v Sri Lanka,Kandy,21 Nov 2001,0,0,1
BC Strang (ZIM),57,18,141,4,2.47,35.25,85.5,v New Zealand,Wellington,26 Dec 2000,0,0,1
MG Johnson (AUS),37.3,5,148,4,3.94,37,56.2,v South Africa,Cape Town,19 Mar 2009,0,0,1
Z Khan (INDIA),49.5,8,153,4,3.07,38.25,74.7,v South Africa,Cape Town,2 Jan 2011,0,0,1
TA Boult (NZ),53,11,159,4,3,39.75,79.5,v England,Leeds,29 May 2015,0,0,1
MG Johnson (AUS),44,4,165,4,3.75,41.25,66,v India,Delhi,29 Oct 2008,0,0,1
RP Singh (INDIA),40,2,181,4,4.52,45.25,60,v Pakistan,Karachi,29 Jan 2006,0,0,1
TA Boult (NZ),45,4,200,4,4.44,50,67.5,v Australia,Perth,13 Nov 2015,0,0,1
A Nehra (INDIA),16.2,4,34,3,2.08,11.33,32.6,v New Zealand,Hamilton,19 Dec 2002,0,0,1
Mohammad Amir (PAK),18,4,43,3,2.38,14.33,36,v New Zealand,Christchurch,17 Nov 2016,0,0,1
RP Singh (INDIA),17,2,45,3,2.64,15,34,v Bangladesh,Chittagong,18 May 2007,0,0,1
Manjural Islam (BDESH),23,4,46,3,2,15.33,46,v Sri Lanka,Colombo (SSC),28 Jul 2002,0,0,1
N Wagner (NZ),15,4,47,3,3.13,15.66,30,v South Africa,Durban,19 Aug 2016,0,0,1
TA Boult (NZ),21.4,5,52,3,2.4,17.33,43.3,v South Africa,Durban,19 Aug 2016,0,0,1
DNT Zoysa (SL),17,6,53,3,3.11,17.66,34,v Zimbabwe,Harare,6 May 2004,0,0,1
N Wagner (NZ),22,6,65,3,2.95,21.66,44,v West Indies,Kingston,2 Aug 2012,0,0,1
TA Boult (NZ),20,3,67,3,3.35,22.33,40,v India,Kanpur,22 Sep 2016,0,0,1
Z Khan (INDIA),22,5,74,3,3.36,24.66,44,v Zimbabwe,Bulawayo,13 Sep 2005,0,0,1
TA Boult (NZ),30,6,75,3,2.5,25,60,v West Indies,Port of Spain,16 Jun 2014,0,0,1
MA Starc (AUS),27,5,76,3,2.81,25.33,54,v England,Manchester,1 Aug 2013,0,0,1
DNT Zoysa (SL),27,4,77,3,2.85,25.66,54,v Zimbabwe,Bulawayo,14 May 2004,0,0,1
TA Boult (NZ),21,2,78,3,3.71,26,42,v South Africa,Cape Town,2 Jan 2013,0,0,1
WPUJC Vaas (SL),22,2,79,3,3.59,26.33,44,v South Africa,Johannesburg,8 Nov 2002,0,0,1
IK Pathan (INDIA),37,13,84,3,2.27,28,74,v Pakistan,Rawalpindi,13 Apr 2004,0,0,1
N Wagner (NZ),43,13,84,3,1.95,28,86,v Zimbabwe,Bulawayo,6 Aug 2016,0,0,1
Wahab Riaz (PAK),28,5,85,3,3.03,28.33,56,v New Zealand,Hamilton,7 Jan 2011,0,0,1
SB O'Connor (NZ),30,4,87,3,2.9,29,60,v South Africa,Bloemfontein,17 Nov 2000,0,0,1
WPUJC Vaas (SL),27,6,87,3,3.22,29,54,v West Indies,Kingston,27 Jun 2003,0,0,1
Mohammad Amir (PAK),31,5,88,3,2.83,29.33,62,v England,Birmingham,6 Aug 2010,0,0,1
Z Khan (INDIA),26,3,89,3,3.42,29.66,52,v Sri Lanka,Galle,14 Aug 2001,0,0,1
Mohammad Amir (PAK),27,5,89,3,3.29,29.66,54,v New Zealand,Wellington,3 Dec 2009,0,0,1
Wahab Riaz (PAK),28,4,89,3,3.17,29.66,56,v Australia,Sydney,3 Jan 2017,0,0,1
Z Khan (INDIA),42,16,91,3,2.16,30.33,84,v England,The Oval,9 Aug 2007,0,0,1
MA Starc (AUS),33,5,92,3,2.78,30.66,66,v England,The Oval,21 Aug 2013,0,0,1
Wasim Akram (PAK),35,10,93,3,2.65,31,70,v Sri Lanka,Galle,21 Jun 2000,0,0,1
DNT Zoysa (SL),24,3,93,3,3.87,31,48,v England,Birmingham,30 May 2002,0,0,1
TA Boult (NZ),27,4,93,3,3.44,31,54,v India,Hyderabad (Deccan),23 Aug 2012,0,0,1
JEC Franklin (NZ),33,5,95,3,2.87,31.66,66,v South Africa,Cape Town,27 Apr 2006,0,0,1
UWMBCA Welegedara (SL),31,4,96,3,3.09,32,62,v South Africa,Centurion,15 Dec 2011,0,0,1
Junaid Khan (PAK),31,7,96,3,3.09,32,62,v Sri Lanka,Galle,22 Jun 2012,0,0,1
Manjural Islam (BDESH),29,5,99,3,3.41,33,58,v New Zealand,Wellington,26 Dec 2001,0,0,1
RJ Sidebottom (ENG),36,4,100,3,2.77,33.33,72,v Sri Lanka,Colombo (SSC),9 Dec 2007,0,0,1
DNT Zoysa (SL),39,10,101,3,2.58,33.66,78,v Pakistan,Rawalpindi,26 Feb 2000,0,0,1
N Wagner (NZ),35,8,102,3,2.91,34,70,v India,Kolkata,30 Sep 2016,0,0,1
Syed Rasel (BDESH),31,1,104,3,3.35,34.66,62,v Sri Lanka,Kandy,11 Jul 2007,0,0,1
TA Boult (NZ),42,13,104,3,2.47,34.66,84,v England,Lord's,16 May 2013,0,0,1
Mohammad Amir (PAK),35.5,6,104,3,2.9,34.66,71.6,v England,Lord's,14 Jul 2016,0,0,1
Z Khan (INDIA),32,5,105,3,3.28,35,64,v Sri Lanka,Colombo (PSS),8 Aug 2008,0,0,1
Wahab Riaz (PAK),26.2,1,106,3,4.02,35.33,52.6,v England,Manchester,22 Jul 2016,0,0,1
IK Pathan (INDIA),44,14,107,3,2.43,35.66,88,v Pakistan,Lahore,5 Apr 2004,0,0,1
WPUJC Vaas (SL),36,9,107,3,2.97,35.66,72,v Bangladesh,Dhaka,26 Dec 2008,0,0,1
RP Singh (INDIA),28,6,108,3,3.85,36,56,v England,Nottingham,27 Jul 2007,0,0,1
Sohail Tanvir (PAK),36,9,109,3,3.02,36.33,72,v India,Delhi,22 Nov 2007,0,0,1
Z Khan (INDIA),26,4,110,3,4.23,36.66,52,v England,Nottingham,8 Aug 2002,0,0,1
Z Khan (INDIA),28.2,4,111,3,3.91,37,56.6,v Bangladesh,Dhaka,10 Dec 2004,0,0,1
IK Pathan (INDIA),36,2,112,3,3.11,37.33,72,v Australia,Adelaide,24 Jan 2008,0,0,1
MA Starc (AUS),31,6,113,3,3.64,37.66,62,v India,Bengaluru,4 Mar 2017,0,0,1
T Thushara (SL),24,3,121,3,5.04,40.33,48,v West Indies,Port of Spain,3 Apr 2008,0,0,1
Mohammad Irfan (PAK),31,2,121,3,3.9,40.33,62,v South Africa,Cape Town,14 Feb 2013,0,0,1
MG Johnson (AUS),40,6,121,3,3.02,40.33,80,v South Africa,Port Elizabeth,20 Feb 2014,0,0,1
Z Khan (INDIA),41,10,122,3,2.97,40.66,82,v England,Leeds,22 Aug 2002,0,0,1
Z Khan (INDIA),31,4,122,3,3.93,40.66,62,v Australia,Sydney,3 Jan 2012,0,0,1
Mustafizur Rahman (BDESH),38,4,128,3,3.36,42.66,76,v South Africa,Potchefstroom,28 Sep 2017,0,0,1
Z Khan (INDIA),34,6,129,3,3.79,43,68,v New Zealand,Napier,26 Mar 2009,0,0,1
Wahab Riaz (PAK),46,10,130,3,2.82,43.33,92,v Bangladesh,Khulna,28 Apr 2015,0,0,1
Z Khan (INDIA),47,14,131,3,2.78,43.66,94,v England,Lord's,25 Jul 2002,0,0,1
Mohammad Amir (PAK),40,8,132,3,3.3,44,80,v England,Manchester,22 Jul 2016,0,0,1
Z Khan (INDIA),44,5,134,3,3.04,44.66,88,v Australia,Adelaide,24 Jan 2012,0,0,1
