Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
M Muralitharan (SL),16.2,4,46,8,2.81,5.75,12.2,v West Indies,Kandy,22 Jul 2005,1,1,0
Harbhajan Singh (INDIA),49.3,20,85,8,1.71,10.62,37.1,v West Indies,Mumbai,9 Oct 2002,1,1,0
M Muralitharan (SL),62,25,88,8,1.41,11,46.5,v Zimbabwe,Colombo (SSC),27 Dec 2001,1,1,0
M Muralitharan (SL),51.2,18,90,8,1.75,11.25,38.5,v India,Galle,14 Aug 2001,1,1,0
R Ashwin (INDIA),38,10,90,8,2.36,11.25,28.5,v South Africa,Mohali,5 Nov 2015,1,1,0
SK Warne (AUS),39.5,6,112,8,2.81,14,29.8,v New Zealand,Brisbane,18 Nov 2004,1,1,0
R Ashwin (INDIA),59.5,17,119,8,1.98,14.87,44.8,v England,Visakhapatnam,17 Nov 2016,1,1,0
Harbhajan Singh (INDIA),72.3,25,123,8,1.69,15.37,54.3,v South Africa,Kolkata,14 Feb 2010,1,1,0
M Muralitharan (SL),96,46,124,8,1.29,15.5,72,v England,Kandy,10 Dec 2003,1,1,0
R Ashwin (INDIA),61.4,17,125,8,2.02,15.62,46.2,v Australia,Bengaluru,4 Mar 2017,1,1,0
MDK Perera (SL),85.5,35,129,8,1.5,16.12,64.3,v South Africa,Colombo (SSC),24 Jul 2014,1,1,0
MM Ali (ENG),38.4,4,129,8,3.33,16.12,29,v India,Southampton,27 Jul 2014,1,1,0
R Ashwin (INDIA),45.4,11,130,8,2.84,16.25,34.2,v Sri Lanka,Nagpur,24 Nov 2017,1,1,0
Harbhajan Singh (INDIA),58.5,10,132,8,2.24,16.5,44.1,v Zimbabwe,Delhi,28 Feb 2002,1,1,0
BAW Mendis (SL),45.5,8,132,8,2.88,16.5,34.3,v India,Colombo (SSC),23 Jul 2008,1,1,0
A Kumble (INDIA),47.4,12,133,8,2.79,16.62,35.7,v England,Mohali,3 Dec 2001,1,1,0
BAW Mendis (SL),62,11,137,8,2.2,17.12,46.5,v India,Colombo (PSS),8 Aug 2008,1,1,0
M Muralitharan (SL),84.5,28,138,8,1.62,17.25,63.6,v South Africa,Colombo (SSC),6 Aug 2000,1,1,0
M Muralitharan (SL),73,28,139,8,1.9,17.37,54.7,v New Zealand,Kandy,3 May 2003,1,1,0
Sohag Gazi (BDESH),58,10,156,8,2.68,19.5,43.5,v New Zealand,Chittagong,9 Oct 2013,1,1,0
GP Swann (ENG),54.2,11,158,8,2.9,19.75,40.7,v Australia,The Oval,20 Aug 2009,1,1,0
M Muralitharan (SL),64,15,168,8,2.62,21,48,v Pakistan,Colombo (SSC),14 Jun 2000,1,1,0
SK Warne (AUS),68.4,16,170,8,2.47,21.25,51.5,v South Africa,Adelaide,14 Dec 2001,1,1,0
SCG MacGill (AUS),47,7,170,8,3.61,21.25,35.2,v Pakistan,Sydney,2 Jan 2005,1,1,0
AG Cremer (ZIM),57.5,8,178,8,3.07,22.25,43.3,v West Indies,Bulawayo,21 Oct 2017,1,1,0
PHT Kaushal (SL),50.3,3,181,8,3.58,22.62,37.8,v India,Galle,12 Aug 2015,1,1,0
M Muralitharan (SL),61.4,8,191,8,3.09,23.87,46.2,v India,Galle,18 Jul 2010,1,1,0
M Muralitharan (SL),66.1,11,216,8,3.26,27,49.6,v Australia,Colombo (SSC),24 Mar 2004,1,1,0
SP Narine (WI),85,22,223,8,2.62,27.87,63.7,v New Zealand,North Sound,25 Jul 2012,1,1,0
MDK Perera (SL),72.4,9,241,8,3.31,30.12,54.5,v South Africa,Galle,16 Jul 2014,1,1,0
Harbhajan Singh (INDIA),78.5,5,265,8,3.36,33.12,59.1,v South Africa,Chennai,26 Mar 2008,1,1,0
SK Warne (AUS),36.2,7,85,7,2.33,12.14,31.1,v England,Melbourne,26 Dec 2006,1,1,0
SCG MacGill (AUS),26.1,5,86,7,3.28,12.28,22.4,v Bangladesh,Darwin,18 Jul 2003,1,1,0
R Ashwin (INDIA),62.4,31,87,7,1.38,12.42,53.7,v South Africa,Delhi,3 Dec 2015,1,1,0
NM Lyon (AUS),33.3,3,88,7,2.62,12.57,28.7,v New Zealand,Brisbane,1 Dec 2011,1,1,0
M Muralitharan (SL),50,16,92,7,1.84,13.14,42.8,v West Indies,Colombo (SSC),13 Jul 2005,1,1,0
RR Sarwan (WI),43,16,96,7,2.23,13.71,36.8,v Bangladesh,Gros Islet,28 May 2004,1,1,0
Harbhajan Singh (INDIA),54,16,96,7,1.77,13.71,46.2,v South Africa,Kanpur,11 Apr 2008,1,1,0
A Kumble (INDIA),49.5,13,101,7,2.02,14.42,42.7,v West Indies,Mumbai,9 Oct 2002,1,1,0
M Muralitharan (SL),67,30,103,7,1.53,14.71,57.4,v England,Colombo (SSC),18 Dec 2003,1,1,0
A Kumble (INDIA),48.3,14,106,7,2.18,15.14,41.5,v Pakistan,Delhi,22 Nov 2007,1,1,0
A Mishra (INDIA),38.2,10,106,7,2.76,15.14,32.8,v Australia,Mohali,17 Oct 2008,1,1,0
Harbhajan Singh (INDIA),43.3,13,110,7,2.52,15.71,37.2,v England,Mohali,3 Dec 2001,1,1,0
Danish Kaneria (PAK),49.3,10,111,7,2.24,15.85,42.4,v South Africa,Lahore,17 Oct 2003,1,1,0
R Ashwin (INDIA),49.3,20,112,7,2.26,16,42.4,v Australia,Delhi,22 Mar 2013,1,1,0
GP Swann (ENG),46,13,118,7,2.56,16.85,39.4,v Pakistan,The Oval,18 Aug 2010,1,1,0
MM Ali (ENG),40.5,6,126,7,3.08,18,35,v South Africa,Manchester,4 Aug 2017,1,1,0
SK Warne (AUS),59,17,129,7,2.18,18.42,50.5,v England,Adelaide,21 Nov 2002,1,1,0
R Ashwin (INDIA),32,6,134,7,4.18,19.14,27.4,v West Indies,Mumbai,14 Nov 2013,1,1,0
Harbhajan Singh (INDIA),59,19,135,7,2.28,19.28,50.5,v West Indies,Chennai,17 Oct 2002,1,1,0
Mehidy Hasan Miraz (BDESH),59.5,8,138,7,2.3,19.71,51.2,v England,Chittagong,20 Oct 2016,1,1,0
D Bishoo (WI),35.5,4,140,7,3.9,20,30.7,v India,Kingston,20 Jun 2011,1,1,0
M Muralitharan (SL),97,28,145,7,1.49,20.71,83.1,v England,Galle,22 Feb 2001,1,1,0
