Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
PP Ojha (INDIA),49.1,16,148,7,3.01,21.14,42.1,v New Zealand,Bengaluru,31 Aug 2012,1,0,0
HMRKB Herath (SL),59,8,157,7,2.66,22.42,50.5,v Bangladesh,Colombo (PSS),15 Mar 2017,1,0,0
RW Price (ZIM),60,18,165,7,2.75,23.57,51.4,v Bangladesh,Harare,26 Apr 2001,1,0,0
PP Ojha (INDIA),75,15,173,7,2.3,24.71,64.2,v West Indies,Mumbai,22 Nov 2011,1,0,0
PL Harris (SA),63,21,174,7,2.76,24.85,54,v England,Centurion,16 Dec 2009,1,0,0
Shakib Al Hasan (BDESH),56.5,12,174,7,3.06,24.85,48.7,v India,Chittagong,17 Jan 2010,1,0,0
DL Vettori (NZ),25,7,56,6,2.24,9.33,25,v West Indies,Dunedin,11 Dec 2008,1,0,0
RA Jadeja (INDIA),21.4,1,63,6,2.9,10.5,21.6,v Australia,Bengaluru,4 Mar 2017,1,0,0
SM Katich (AUS),25.5,3,65,6,2.51,10.83,25.8,v Zimbabwe,Sydney,17 Oct 2003,1,0,0
RA Jadeja (INDIA),34,12,66,6,1.94,11,34,v Australia,Hyderabad (Deccan),2 Mar 2013,1,0,0
Mohammad Rafique (BDESH),37.2,7,77,6,2.06,12.83,37.3,v South Africa,Dhaka,1 May 2003,1,0,0
MS Panesar (ENG),29.1,4,80,6,2.74,13.33,29.1,v West Indies,Chester+AC0-le+AC0-Street,15 Jun 2007,1,0,0
SJ Benn (WI),46.4,13,81,6,1.73,13.5,46.6,v South Africa,Bridgetown,26 Jun 2010,1,0,0
PP Ojha (INDIA),49,15,92,6,1.87,15.33,49,v New Zealand,Hyderabad (Deccan),23 Aug 2012,1,0,0
Elias Sunny (BDESH),23,0,94,6,4.08,15.66,23,v West Indies,Chittagong,21 Oct 2011,1,0,0
Enamul Haque jnr (BDESH),48.2,14,100,6,2.06,16.66,48.3,v Zimbabwe,Chittagong,6 Jan 2005,1,0,0
HMRKB Herath (SL),30.1,3,109,6,3.61,18.16,30.1,v Australia,Galle,4 Aug 2016,1,0,0
SC Williams (ZIM),48,12,111,6,2.31,18.5,48,v West Indies,Bulawayo,21 Oct 2017,1,0,0
RA Jadeja (INDIA),47.2,13,112,6,2.36,18.66,47.3,v Australia,Mohali,14 Mar 2013,1,0,0
AF Giles (ENG),51,12,116,6,2.27,19.33,51,v New Zealand,Nottingham,10 Jun 2004,1,0,0
